"id","name","slug","type","category","area","description","detailedDescription","customHtml","image1","image1Desc","image1FileId","image2","image2Desc","image2FileId","image3","image3Desc","image3FileId","website","phone","address","authorName","publishedDate","modifiedDate","directionsLink","videoLink","document1","document1Name","document2","document2Name","amenities","featured","googleMapsUrl"
"49","Outback Brew House","outback-brew-house","Breweries & Cideries","taste","Lovingston","Discover Outback Brew House, a charming nano-brewery taproom located in Lovingston, where you can savor unique house-crafted beers straight from the tap. With plans for expanded outdoor seating, a lively music stage, and a delicious onsite food truck, this inviting destination promises a delightful experience for both locals and visitors alike. While you're in Lovingston, take a moment to explore the rich history of the area, including the Lovingston Historic District and the courthouse, both proudly listed on the National Register of Historic Places. Join us at Outback Brew House and be part of our journey as we grow and celebrate the art of brewing.","","","https://ik.imagekit.io/OE/nelson-county/listings/outback-brew-house-image1_3mAJkqmbA","Beer glass with logo outdoors, blue sky, string lights in background.","","","","","","","","https://www.outbackhouselodging.com/outback-brew-house/","(434) 263-0007","7995 Thomas Nelson Hwy, Lovingston, VA 22949","josh","","","https://www.google.com/maps/dir/?api=1&destination=7995%20Thomas%20Nelson%20Hwy%2C%20Lovingston%2C%20VA%2022949","","","","","","Outdoor Seating; Live Music; Beer; Cider; Tastings","false","https://www.google.com/maps/dir/?api=1&destination=7995%20Thomas%20Nelson%20Hwy%2C%20Lovingston%2C%20VA%2022949"
"50","Three Notch'd Brewery, Distillery & Craft Kitchen","three-notchd-brewery-distillery-craft-kitchen-nelson-county","Breweries & Cideries","taste","Nellysford","Three Notch'd Brewery, Distillery & Craft Kitchen on Route 151 unites beer, spirits, and a from-scratch kitchen featuring beer-infused plates, kids items, and gluten-free options, with leashed dogs welcome on the patio.","","","https://ik.imagekit.io/OE/nelson-county/listings/three-notch-d-brewery-distillery-craft-kitchen-image1_0-OUbAArR3","Assorted colorful beer cans displayed outdoors near a wooden building.","","","","","","","","https://threenotchdbrewing.com/location/nellysford/","(434) 226-0020","2461 Rockfish Valley Hwy, Nellysford, VA 22958","josh","","","https://www.google.com/maps/dir/?api=1&destination=2461%20Rockfish%20Valley%20Hwy%2C%20Nellysford%2C%20VA%2022958","","","","","","Beer; Cider; Full Kitchen; Spirits; Tastings","false","https://www.google.com/maps/dir/?api=1&destination=2461%20Rockfish%20Valley%20Hwy%2C%20Nellysford%2C%20VA%2022958"
"51","Wild Man Dan Brewery","wild-man-dan-brewery","Breweries & Cideries","taste","Afton","Barn brewery pouring award-winning micro batches and offering homebrew workshops with Dan and his mountain porch hospitality. Wild Man Dan Brewery is Virginia's tiniest production brewery, where Dan brews award-winning small batches in his barn and happily teaches visitors the art of ale making while they sample Chai-Laxin or Dark Matter IPA.","","","https://ik.imagekit.io/OE/nelson-county/listings/wild-man-dan-brewery-image1_k5KRI9nIU","Brick house with white porch, surrounded by trees and blooming flowers.","","","","","","","","https://wildmandanbeer.com/","(540) 798-1781","279 Avon Road, Afton, VA 22920","josh","","","https://www.google.com/maps/dir/?api=1&destination=279%20Avon%20Road%2C%20Afton%2C%20VA%2022920","","","","","","Beer; Cider; Meeting Planners; Outdoor Seating; Retail; Scenic Views; Tastings","false","https://www.google.com/maps/dir/?api=1&destination=279%20Avon%20Road%2C%20Afton%2C%20VA%2022920"
"52","Wood Ridge Farm Brewery","wood-ridge-farm-brewery","Breweries & Cideries","taste","Lovingston","Nestled in the heart of Lovingston, Wood Ridge Farm Brewery is an estate brewery that embodies the essence of 'dirt-to-glass' brewing. With a commitment to sustainability, we grow and malt our own grains on-site, allowing visitors to savor distinctive local beers while enjoying breathtaking views of the surrounding countryside. In addition to our craft brews, Lovingston itself offers a rich tapestry of history, featuring the Lovingston Historic District and its courthouse, both proudly listed on the National Register of Historic Places. Join us for a unique tasting experience where every sip tells a story of the land.","","","https://ik.imagekit.io/OE/nelson-county/listings/wood-ridge-farm-brewery-image1_Bi7zpuZf1","Wooden 'LOVE' sign with sunset backdrop, couple walking towards a garden.","","","","","","","","https://www.woodridgefarmbrewery.com/","(434) 531-7362","165 Old Ridge Road, Lovingston, VA 22949","josh","","","https://www.google.com/maps/dir/?api=1&destination=165%20Old%20Ridge%20Road%2C%20Lovingston%2C%20VA%2022949","","","","","","Farm; Scenic Views; Seasonal Menu; Beer; Cider; Tastings","false","https://www.google.com/maps/dir/?api=1&destination=165%20Old%20Ridge%20Road%2C%20Lovingston%2C%20VA%2022949"
"53","Devils Backbone Distilling Co.","devils-backbone-distilling-co","Distilleries","taste","Roseland","On-site craft distillery at Devils Backbone Basecamp serving small-batch gin, rum, and brandy cocktails in a lounge and covered patio setting. Devils Backbone Distilling Co.","","","https://ik.imagekit.io/OE/nelson-county/listings/devils-backbone-distilling-co--image1_kkqc1tAn6","People relax outdoors on wooden chairs under sunny skies, surrounded by trees.","","","","","","","","https://www.dbbrewingcompany.com/spirits/","(434) 361-1001","35 Mosbys Run, Roseland, VA 22967","josh","","","https://www.google.com/maps/dir/?api=1&destination=35%20Mosbys%20Run%2C%20Roseland%2C%20VA%2022967","","","","","","Spirits; Cocktails; Outdoor Seating; Tastings; Beer","false","https://www.google.com/maps/dir/?api=1&destination=35%20Mosbys%20Run%2C%20Roseland%2C%20VA%2022967"
"54","Silverback Distillery","silverback-distillery","Distilleries","taste","Afton","Silverback Distillery is a mother-daughter team crafting award-winning spirits with local grains and mountain water, pouring cocktail flights and barrel-smoked drinks in Afton. Silverback Distillery—the nation's only mother-daughter distilling duo—crafts award-winning gin, rye, bourbon, and honey liqueur in the Blue Ridge, offering tasting flights, smoked cocktails, and bottle sales in its Roseland stillhouse.","","","https://ik.imagekit.io/OE/nelson-county/listings/silverback-distillery-image1_RBNd85uTW","Blue building with lit windows, dusk sky, parking lot, and surrounding trees.","","","","","","","","","(540) 456-7070","9520 Rockfish Valley Highway, Afton, VA 22920","josh","","","https://www.google.com/maps/dir/?api=1&destination=9520%20Rockfish%20Valley%20Highway%2C%20Afton%2C%20VA%2022920","","","","","","Spirits; Cocktails; Tastings; Scenic Views; Water Sports","false","https://www.google.com/maps/dir/?api=1&destination=9520%20Rockfish%20Valley%20Highway%2C%20Afton%2C%20VA%2022920"
"55","Virginia Distillery Co.","virginia-distillery-co","Distilleries","taste","Lovingston","Virginia Distillery Co. The original 30 acres was donated by Mr.","","","https://ik.imagekit.io/OE/nelson-county/listings/virginia-distillery-co--image1_eCbxehNaH","Stone gate entrance to a large white house, surrounded by trees and hills.","","","","","","","","https://vadistillery.com/","(434) 285-2900","299 Eades Lane, Lovingston, VA 22949","josh","","","https://www.google.com/maps/dir/?api=1&destination=299%20Eades%20Lane%2C%20Lovingston%2C%20VA%2022949","","","","","","Spirits; Museum; Tastings","false","https://www.google.com/maps/dir/?api=1&destination=299%20Eades%20Lane%2C%20Lovingston%2C%20VA%2022949"
"131","Montebello Fish Hatchery","montebello-fish-hatchery","Activities","culture","Montebello","In addition to trout, there is a nature trail and pollinator plots located on the property. State trout hatchery near Crabtree Falls offering educational tours, pollinator plots, and a nature trail adjacent to mountain hiking hubs.","","","https://ik.imagekit.io/OE/nelson-county/listings/montebello-fish-hatchery-image1_4Xa9lVMTCF","Sign for Montebello State Fish Hatchery amidst autumn trees by winding road.","","","","","","","","","(540) 377-2418","359 Fish Hatchery Lane, Montebello, VA 24464","josh","","","https://www.google.com/maps/dir/?api=1&destination=359%20Fish%20Hatchery%20Lane%2C%20Montebello%2C%20VA%2024464","","","","","","Hiking; Biking; Fishing","false","https://www.google.com/maps/dir/?api=1&destination=359%20Fish%20Hatchery%20Lane%2C%20Montebello%2C%20VA%2024464"
"144","One Forest","one-forest","Activities","experience","Nellysford","Proposed forest-based education and wellness space in Nellysford emphasizing nature play and outdoor learning; listing currently in development.","","","https://ik.imagekit.io/OE/nelson-county/listings/one-forest-image1_SsMvpz8Qy","Tall white flowering plant in garden with wooden house and trees behind.","","","","","","","","","","Nellysford, VA 22958","josh","","","https://www.google.com/maps/dir/?api=1&destination=Nellysford%2C%20VA%2022958","","","","","","Outdoor Seating","false","https://www.google.com/maps/dir/?api=1&destination=Nellysford%2C%20VA%2022958"
"160","Oak Ridge Estate","oak-ridge-estate","Activities","culture","Arrington","The mansion on this 5,000-acre plantation estate was first built in 1802 and acquired at the turn of the 20th century by Thomas Fortune Ryan, a Nelson County native who had become one of the 10 wealthiest men in the nation. He made impressive alterations to the building and grounds-adding a formal Italian garden, rotunda greenhouse and railroad station, among other features.","","","https://ik.imagekit.io/OE/nelson-county/listings/oak-ridge-estate-image1_AoSf5sg8m","Large white mansion with columns, surrounded by green lawn and trimmed shrubs.","","","","","","","","","(434) 263-8676","2300 Oak Ridge Road, Arrington, VA 22922","josh","","","https://www.google.com/maps/dir/?api=1&destination=2300%20Oak%20Ridge%20Road%2C%20Arrington%2C%20VA%2022922","","","","","","Events","false","https://www.google.com/maps/dir/?api=1&destination=2300%20Oak%20Ridge%20Road%2C%20Arrington%2C%20VA%2022922"
"161","Swannanoa","swannanoa","Activities","culture","Afton","Experience the elegance of Swannanoa, a stunning marble villa built in 1911, perched atop Afton Mountain. Open on select weekends for public tours, this architectural gem invites visitors to explore its exquisite Italianate design and beautifully landscaped gardens. Immerse yourself in the rich history and serene surroundings that make Swannanoa a captivating destination for architecture enthusiasts and nature lovers alike.","","","https://ik.imagekit.io/OE/nelson-county/listings/swannanoa-image1_RcVj2PVkX","Vintage black car parked outside a large white mansion.","6930547d5c7cd75eb880dc49","","","693061a05c7cd75eb8d793f6","","","","","(540) 942-5201","497 Swannanoa Lane, Afton, VA 22920","josh","","","https://www.google.com/maps/dir/?api=1&destination=497%20Swannanoa%20Lane%2C%20Afton%2C%20VA%2022920","","","","","","Outdoor Seating; Scenic Views; Tours","false","https://www.google.com/maps/dir/?api=1&destination=497%20Swannanoa%20Lane%2C%20Afton%2C%20VA%2022920"
"166","Blue Ridge Fruit Loop","blue-ridge-fruit-loop","Activities","outdoor","Tyro","Discover the Blue Ridge Fruit Loop, a delightful journey through 11 charming orchards and farms in the scenic Nelson and Amherst counties. From May to December, enjoy the experience of picking your own fresh fruit while savoring the breathtaking views of the Blue Ridge Mountains. Along the route, visit local gems like Inglewood Farm, Deer Creek Farm, and Montebello Fish Hatchery, and don’t miss the opportunity to indulge in fine wines at Veritas Vineyards & Winery or Mountain and Vine Winery. Complete your adventure with a refreshing craft brew from Blue Mountain Brewery and pick up some local delights at Basic Necessities. Join us for a memorable day of exploration and taste!","","","https://ik.imagekit.io/OE/nelson-county/listings/blue-ridge-fruit-loop-image1_xveXoCybQ","Clusters of ripe blackberries on bush, hand reaching in sunlight.","","","","","","","","","(434) 263-7015","Blue Ridge Fruit Loop Trailhead, 56 Cabell Road, Tyro, VA 22976","josh","","","https://www.google.com/maps/dir/?api=1&destination=Blue%20Ridge%20Fruit%20Loop%20Trailhead%2C%2056%20Cabell%20Road%2C%20Tyro%2C%20VA%2022976","","","","","","Cider; Farm; Seasonal Menu; Scenic Views; Biking; Tastings","false","https://www.google.com/maps/dir/?api=1&destination=Blue%20Ridge%20Fruit%20Loop%20Trailhead%2C%2056%20Cabell%20Road%2C%20Tyro%2C%20VA%2022976"
"386","Glass Hollow Studio & Gallery","glasshollow","Art & Artisans","culture","Afton","Nestled in the scenic Rockfish Valley, Glass Hollow Studio & Gallery invites you to explore the captivating world of glass art. Experience live glassblowing demonstrations and discover exquisite handcrafted pieces that showcase the beauty of this unique medium. Join us every Saturday in September for our popular 'Make Your Own Glass Pumpkin' workshops, where you can create a personal masterpiece to take home. Whether you're an art enthusiast or a curious beginner, there's something for everyone at our vibrant studio.","","","https://ik.imagekit.io/OE/nelson-county/listings/glass-hollow-studio-gallery-image1_P9hwkSskV","Blue glass orb being shaped in bright orange flame.","","https://ik.imagekit.io/OE/nelson-county/listings/glass-hollow-studio-gallery-image2_xTwMG5Mnc","Circular logo with blue mountains and glassblowing tool. Text around edges.","695d1d645c7cd75eb86268c4","","","695d1d7a5c7cd75eb862ddf4","https://glasshollow.com","(434) 270-6104","9080 Rockfish Valley Highway, Afton, VA 22920","Brittany Niemeyer","","","https://www.google.com/maps/dir/?api=1&destination=9080%20Rockfish%20Valley%20Highway%2C%20Afton%2C%20VA%2022920","","","","","","Museum; Retail","true","https://www.google.com/maps/dir/?api=1&destination=9080%20Rockfish%20Valley%20Highway%2C%20Afton%2C%20VA%2022920"
"95","Blue Ridge Parkway Loops","blue-ridge-parkway-loops","Biking","outdoor","Nelson County","Scenic 22- or 40-mile Blue Ridge Parkway cycling loop starting near Love, Virginia, with sweeping Shenandoah Valley overlooks, Parkway climbs, and Route 76 tie-ins.","","","https://ik.imagekit.io/OE/nelson-county/listings/blue-ridge-parkway-loops-image1_ned_KWOT2","Sun setting over mountains with road and railing in foreground.","","","","","","","","","(434) 263-7015","Milepost 16, Blue Ridge Parkway, Love, VA 22952","josh","","","https://www.google.com/maps/dir/?api=1&destination=Milepost%2016%2C%20Blue%20Ridge%20Parkway%2C%20Love%2C%20VA%2022952","","","","","","Biking; Hiking; Scenic Views","false","https://www.google.com/maps/dir/?api=1&destination=Milepost%2016%2C%20Blue%20Ridge%20Parkway%2C%20Love%2C%20VA%2022952"
"96","Oak Ridge Loop","oak-ridge-loop","Biking","outdoor","Nelson County","29-mile Oak Ridge cycling loop rolling through Route 56 and Rockfish Valley backroads with historic estate views and low-traffic farm lanes. The 29-mile Oak Ridge Loop mixes Route 56 farmland, country stores, and stretches along Route 29, rewarding cyclists with rolling hills and scenic estate views before returning to the Oak Ridge parking area.","","","https://ik.imagekit.io/OE/nelson-county/listings/oak-ridge-loop-image1_C_eilCHEx","Stone cottage with green roof surrounded by trees and iron fence.","","https://ik.imagekit.io/OE/nelson-county/listings/oak-ridge-loop-image2__dpCyljnt","Old wooden mill with waterwheel by pond, surrounded by lush green trees.","","","","","","(434) 263-7015","1010 Oak Ridge Road, Arrington, VA 22922","josh","","","https://www.google.com/maps/dir/?api=1&destination=1010%20Oak%20Ridge%20Road%2C%20Arrington%2C%20VA%2022922","","","","","","Biking; Retail; Farm; Fishing","false","https://www.google.com/maps/dir/?api=1&destination=1010%20Oak%20Ridge%20Road%2C%20Arrington%2C%20VA%2022922"
"97","Woodson's Mill Loop","woodsons-mill-loop","Biking","outdoor","Nelson County","24-mile Woodson's Mill ride beginning at the historic gristmill in Lowesville and circling through Massies Mill and Route 680 countryside.","","","https://ik.imagekit.io/OE/nelson-county/listings/woodson-s-mill-loop-image1_yiXWRoa0o","Old wooden watermill surrounded by lush greenery, near a tranquil pond.","","","","","","","","","(434) 263-7015","3211 Lowesville Road, Roseland, VA 22967","josh","","","https://www.google.com/maps/dir/?api=1&destination=3211%20Lowesville%20Road%2C%20Roseland%2C%20VA%2022967","","","","","","Biking; Scenic Views; Farm; Water Sports","false","https://www.google.com/maps/dir/?api=1&destination=3211%20Lowesville%20Road%2C%20Roseland%2C%20VA%2022967"
"98","Walton's Mountain Museum Loop","waltons-mountain-museum-loop","Biking","outdoor","Nelson County","31-mile Schuyler countryside loop from Walton's Mountain Museum past the James River and Esmont farms with plenty of quiet ridge lines.","","","https://ik.imagekit.io/OE/nelson-county/listings/walton-s-mountain-museum-loop-image1_anr51axUp","Red brick building with American flag, labeled Schuyler Elementary School.","","","","","","","","","(434) 263-7015","6484 Rockfish River Road, Schuyler, VA 22969","josh","","","https://www.google.com/maps/dir/?api=1&destination=6484%20Rockfish%20River%20Road%2C%20Schuyler%2C%20VA%2022969","","","","","","Biking; Hiking; Scenic Views; Museum; Farm; Water Sports","false","https://www.google.com/maps/dir/?api=1&destination=6484%20Rockfish%20River%20Road%2C%20Schuyler%2C%20VA%2022969"
"99","Virginia Blue Ridge Railway Trail","virginia-blue-ridge-railway-trail","Biking","outdoor","Piney River","Explore the scenic 7-mile Virginia Blue Ridge Railway Trail, a crushed-stone path that winds gracefully alongside the Piney and Tye rivers. With dual trailheads, this versatile route is ideal for biking, walking, and horseback riding, catering to all outdoor enthusiasts. As you journey through the trail, delight in seasonal wildflower displays that enhance the serene landscape, providing a perfect backdrop for both leisurely rides and invigorating outings. Experience the beauty of nature and enjoy an unforgettable adventure in this stunning setting.","","","https://ik.imagekit.io/OE/nelson-county/listings/virginia-blue-ridge-railway-trail-image1_gb6HkVrGb","Trailhead sign and small building surrounded by trees under clear blue sky.","","","","","","","","","(434) 263-7130","3124 Patrick Henry Highway, Piney River, VA 22964","josh","","","https://www.google.com/maps/dir/?api=1&destination=3124%20Patrick%20Henry%20Highway%2C%20Piney%20River%2C%20VA%2022964","","","","","","Biking; Equestrian; Scenic Views; Hiking; Water Sports","false","https://www.google.com/maps/dir/?api=1&destination=3124%20Patrick%20Henry%20Highway%2C%20Piney%20River%2C%20VA%2022964"
"100","Nelson Scenic Loop","nelson-scenic-loop","Biking","outdoor","Tyro","Discover the breathtaking 50-mile Nelson Scenic Loop, a perfect biking adventure that weaves through Routes 151 and 664, alongside the iconic Blue Ridge Parkway. Experience stunning mountain vistas, charming orchards, and delightful craft beverage stops as you traverse this scenic route. Enjoy picturesque waterfalls and sweeping views from the Piedmont foothills to the ridge-top summits, making every turn a new adventure. Embrace the beauty of nature and the thrill of exploration on this unforgettable journey.","","","https://ik.imagekit.io/OE/nelson-county/listings/nelson-scenic-loop-image1_RICn_P7cl8","Black butterfly on pale purple flowers with green leaves.","","","","","","","","","(434) 263-7015","Route 151 & Route 664 Junction, Nellysford, VA 22958","josh","","","https://www.google.com/maps/dir/?api=1&destination=Route%20151%20%26%20Route%20664%20Junction%2C%20Nellysford%2C%20VA%2022958","","","","","","Biking; Educational; Scenic Views; Farm; Water Sports","false","https://www.google.com/maps/dir/?api=1&destination=Route%20151%20%26%20Route%20664%20Junction%2C%20Nellysford%2C%20VA%2022958"
"101","Tye River","tye-river","Canoeing","outdoor","Tyro","34-mile Blue Ridge stream offering Class I–II+ whitewater, mountain views, and seasonal paddling windows for experienced canoeists.","","","https://ik.imagekit.io/OE/nelson-county/listings/tye-river-image1_obd32khA6","Bridge over river surrounded by lush forest and distant hills.","","","","","","","","https://nelsoncounty.com/explore/tye-river/","(434) 263-7015","Tye River Main Access 2724 Patrick Henry Highway Piney River VA 22964","josh","","","https://www.google.com/maps/search/?api=1&query=Tye%20River%20Main%20Access%202724%20Patrick%20Henry%20Highway%20Piney%20River%20VA%2022964","","","","","","Water Sports","false","https://www.google.com/maps/search/?api=1&query=Tye%20River%20Main%20Access%202724%20Patrick%20Henry%20Highway%20Piney%20River%20VA%2022964"
"102","James River","james-river","Canoeing","outdoor","Wingina","The James River forms Nelson County's southeastern border, offering endless canoe and kayak launches, johnboat access, and fishing for smallmouth, largemouth, catfish, and sunfish along Virginia's most storied waterway. James River corridor on Nelson's southeastern edge with multiple ramps, float trips, and access to the 64-mile Upper James River Water Trail.","","","https://ik.imagekit.io/OE/nelson-county/listings/james-river-image1_FejU6BN18","Serene river surrounded by lush green trees and distant mountains under clear sky.","","","","","","","","https://nelsoncounty.com/explore/james-river/","(434) 933-4355","947 James River Road Wingina VA 24599","josh","","","https://www.google.com/maps/search/?api=1&query=947%20James%20River%20Road%20Wingina%20VA%2024599","","","","","","Biking; Hiking; Water Sports; Fishing","false","https://www.google.com/maps/search/?api=1&query=947%20James%20River%20Road%20Wingina%20VA%2024599"
"103","Rockfish River","rockfish-river","Canoeing","outdoor","Afton","Rockfish River paddling routes tracing the confluence of its forks with gentle Class I–II water, winter flows, and Route 6 takeouts. The Rockfish River begins where its North and South forks meet in Nelson County, then slides southeast toward the James—providing scenic paddles, Class I riffles, and seasonal floats between Route 600, Route 6, and Scottsville.","","","https://ik.imagekit.io/OE/nelson-county/listings/rockfish-river-image1_d1GnubdLD","Person kayaking with a dog in green kayak on a river.","","","","","","","","https://nelsoncounty.com/explore/rockfish-river/","(434) 263-7015","Rockfish River Access 5156 Rockfish Valley Highway Afton VA 22920","josh","","","https://www.google.com/maps/search/?api=1&query=Rockfish%20River%20Access%205156%20Rockfish%20Valley%20Highway%20Afton%20VA%2022920","","","","","","Water Sports; Fishing","false","https://www.google.com/maps/search/?api=1&query=Rockfish%20River%20Access%205156%20Rockfish%20Valley%20Highway%20Afton%20VA%2022920"
"104","Lake Nelson","lake-nelson","Canoeing","outdoor","Arrington","40-acre DGIF lake with boat ramp, year-round bank fishing, electric-motor boating, and seasonal restrooms near Arrington. Lake Nelson is a 40-acre DGIF reservoir with a concrete boat ramp, 24/7 access, and electric-motor-only fishing for largemouth bass, crappie, channel cats, and sunfish just outside Arrington.","","","https://ik.imagekit.io/OE/nelson-county/listings/lake-nelson-image1_ntx7GII0I","Calm lake reflecting cloudy sky, surrounded by dense forest, distant mountains visible.","","","","","","","","https://nelsoncounty.com/explore/lake-nelson/","(434) 263-7015","801 Lake Nelson LaneArrington VA 22922","josh","","","https://www.google.com/maps/search/?api=1&query=801%20Lake%20Nelson%20LaneArrington%20VA%2022922","","","","","","Water Sports; Fishing","false","https://www.google.com/maps/search/?api=1&query=801%20Lake%20Nelson%20LaneArrington%20VA%2022922"
"40","Dickie Brothers Orchard","dickie-brothers-orchard","Farms & Orchards","experience","Roseland","Dickie Brothers Orchard—one of Virginia's Century Farms—offers pick-your-own berries and apples, fresh-pressed cider, pumpkins, and farm goods, with varieties ripening from June raspberries through November harvest weekends. Century Farm orchard growing heirloom apples alongside berries, pumpkins, cider, and farm-made goods with pick-your-own seasons from summer through fall.","","","https://ik.imagekit.io/OE/nelson-county/listings/dickie-brothers-orchard-image1_mgGfsUOkW","Child in dress standing by Dickie Bros Orchard sign, rustic background.","","https://ik.imagekit.io/OE/nelson-county/listings/dickie-brothers-orchard-image2_CzMZz9sVs","Pumpkins and colorful flowers displayed outside rustic wooden building with American flag.","","","","","https://dickiebrothers.com/","(434) 277-5516","2685 Dickie Road, Roseland, VA 22967","josh","","","https://www.google.com/maps/dir/?api=1&destination=2685%20Dickie%20Road%2C%20Roseland%2C%20VA%2022967","","","","","","Farm; Cider; Local Ingredients; Tastings","false","https://www.google.com/maps/dir/?api=1&destination=2685%20Dickie%20Road%2C%20Roseland%2C%20VA%2022967"
"41","Drumheller's Orchard","drumhellers-orchard","Farms & Orchards","experience","Lovingston","Discover the charm of Drumheller's Orchard, a family-owned gem in the heart of Virginia, where you can indulge in a selection of classic apple varieties and artisanal house-made cider. Embrace the spirit of fall during our vibrant festivals, featuring hayrides, freshly baked treats, and a welcoming environment for both pets and families. With scenic grounds perfect for leisurely afternoons and the joy of apple picking, this destination offers a delightful getaway for visitors of all ages.","","","https://ik.imagekit.io/OE/nelson-county/listings/drumheller-s-orchard-image1_lGFwTv4Vd","Pink and white blossoms on a branch against a clear blue sky.","","","","","","","","https://www.drumhellersorchard.com/","(434) 263-5036","1130 Drumheller Orchard Lane, Lovingston, VA 22949","josh","","","https://www.google.com/maps/dir/?api=1&destination=1130%20Drumheller%20Orchard%20Lane%2C%20Lovingston%2C%20VA%2022949","","","","","","Bakery; Cider; Farm; Pet Friendly; Local Ingredients; Tastings","false","https://www.google.com/maps/dir/?api=1&destination=1130%20Drumheller%20Orchard%20Lane%2C%20Lovingston%2C%20VA%2022949"
"42","Saunders Brothers Farm Market","saunders-brothers-farm-market","Farms & Orchards","experience","Piney River","Discover the charm of Saunders Brothers Farm Market, where you can savor the freshest homegrown peaches and apples, along with a delightful selection of nursery stock. Our inviting country shop offers an array of locally sourced meats, delicious baked goods, and our famous peach ice cream, making it a perfect stop for families and food lovers alike. Join us on weekends for special events that celebrate our agricultural heritage and community spirit. Experience the warmth of farm-fresh flavors and the joy of a true country market!","","","https://ik.imagekit.io/OE/nelson-county/listings/saunders-brothers-farm-market-image1_f1AEM7MxN","American flag waves outside rustic store with produce sign and wooden facade.","","","","","","","","https://www.saundersbrothers.com/","(434) 277-5455","2717 Tye Brook Highway, Piney River, VA 22964","josh","","","https://www.google.com/maps/dir/?api=1&destination=2717%20Tye%20Brook%20Highway%2C%20Piney%20River%2C%20VA%2022964","","","","","","Farm; Market; Desserts; Bakery; Local Ingredients; Family Friendly; Museum; Water Sports","false","https://www.google.com/maps/dir/?api=1&destination=2717%20Tye%20Brook%20Highway%2C%20Piney%20River%2C%20VA%2022964"
"133","Big Arms Farm","big-arms-farm","Farms & Orchards","community","Lovingston","Educating consumers, turning them on to new foods and giving them the opportunity to connect and contribute not only to our local economy, but to global efforts re-building war torn communities around the world is what Big Arms Farm is all about. Market farm known for cut flowers, heirloom produce, and grass-fed beef with bouquets and specialty goods at the Nelson Farmers Market.","","","https://ik.imagekit.io/OE/nelson-county/listings/big-arms-farm-image1_i2J6RcEih","Smiling couple under canopy surrounded by colorful flowers.","","","","","","","","","(434) 263-7015","Nelson Farmers Market Cooperative, 868 Front Street, Lovingston, VA 22949","josh","","","https://www.google.com/maps/dir/?api=1&destination=Nelson%20Farmers%20Market%20Cooperative%2C%20868%20Front%20Street%2C%20Lovingston%2C%20VA%2022949","","","","","","Market; Farm; Local Ingredients","false","https://www.google.com/maps/dir/?api=1&destination=Nelson%20Farmers%20Market%20Cooperative%2C%20868%20Front%20Street%2C%20Lovingston%2C%20VA%2022949"
"134","Caldwell Farms","caldwell-farms","Farms & Orchards","experience","Lovingston","Discover Caldwell Farms, a charming U-pick flower farm nestled in Stagebridge, where nature's beauty unfolds in curated seasonal blooms. By appointment only, our farm offers a unique experience with private design sessions, allowing you to create stunning floral arrangements while enjoying the serene countryside. Join us to celebrate the art of floral design and take home a piece of nature’s splendor.","","","https://ik.imagekit.io/OE/nelson-county/listings/caldwell-farms-image1_FWxJVDAqM","Colorful bouquet of flowers with green fields in the background.","","","","","","","","","(770) 401-0390","394 Stagebridge Road, Lovingston, VA 24590","josh","","","https://www.google.com/maps/dir/?api=1&destination=394%20Stagebridge%20Road%2C%20Lovingston%2C%20VA%2024590","","","","","","Seasonal Menu; Retail; Farm; Local Ingredients","false","https://www.google.com/maps/dir/?api=1&destination=394%20Stagebridge%20Road%2C%20Lovingston%2C%20VA%2024590"
"135","Davis Creek Farm","davis-creek-farm","Farms & Orchards","experience","Lovingston","Holistic Davis Creek Farm raises heritage livestock on 60 mountain acres with farm stays, workshops, and by-appointment experiences. Davis Creek Farm is a sixty-acre working family farm located in a pristine hollow in the Blue Ridge Mountains of Virginia.","","","https://ik.imagekit.io/OE/nelson-county/listings/davis-creek-farm-image1_lUORCOvoM","Horses grazing in a lush, green pasture with a forest background.","","","","","","","","","(434) 249-4333","4670 Davis Creek Lane, Lovingston, VA 22949","josh","","","https://www.google.com/maps/dir/?api=1&destination=4670%20Davis%20Creek%20Lane%2C%20Lovingston%2C%20VA%2022949","","","","","","Farm; Local Ingredients","false","https://www.google.com/maps/dir/?api=1&destination=4670%20Davis%20Creek%20Lane%2C%20Lovingston%2C%20VA%2022949"
"136","Deer Creek Farm","deer-creek-farm","Farms & Orchards","experience","Roseland","Family cattle and lamb farm in Lowesville providing custom beef and lamb shares by whole, half, or quarter.","","","https://ik.imagekit.io/OE/nelson-county/listings/deer-creek-farm-image1_qTXfWgAfq","Grilled steak sizzling on open flame with rosemary garnish.","","","","","","","","","(434) 277-9104","3764 Lowesville Road, Lowesville, VA 22967","josh","","","https://www.google.com/maps/dir/?api=1&destination=3764%20Lowesville%20Road%2C%20Lowesville%2C%20VA%2022967","","","","","","Order Pickup; Farm; Local Ingredients","false","https://www.google.com/maps/dir/?api=1&destination=3764%20Lowesville%20Road%2C%20Lowesville%2C%20VA%2022967"
