id,name,slug,type,category,area,description,customHtml,image1,image1Desc,image1FileId,image2,image2Desc,image2FileId,image3,image3Desc,image3FileId,website,phone,address,authorName,publishedDate,modifiedDate,directionsLink,amenities,featured,googleMapsUrl,accordionPanel1Title,accordionPanel1Content,accordionPanel2Title,accordionPanel2Content,accordionPanel3Title,accordionPanel3Content,accordionPanel4Title,accordionPanel4Content
188,Harmony Hill Bed & Breakfast,harmony-hill-bed-and-breakfast,Bed and Breakfast,stay,Arrington,"Harmony Hill Bed & Breakfast offers six themed guest rooms with private baths, fireplaces, and country breakfasts near Route 29 wineries. Harmony Hill Bed & Breakfast blends six themed guest rooms—each with private bath and many with fireplaces—with hearty country breakfasts and porch swings overlooking Route 29 wine country. Hosts help guests map tasting itineraries, waterfall hikes, and scenic drives between meals. 6 Rooms with private baths Some have Jacuzzi tubs and fireplaces Rates include a full country breakfast.",,https://ik.imagekit.io/OE/nelson-county/listings/harmony-hill-bed-breakfast-image1_RKNENpGmn,"Brown wooden house with dormer windows, surrounded by trees and grassy lawn.",,https://ik.imagekit.io/OE/nelson-county/listings/harmony-hill-bed-breakfast-image2_3XvmHXiWy,"Cozy cabin living room with brown sofa, stone fireplace, and wooden accents.",,,,,,(434) 263-7750,"929 Wilson Hill Road, Arrington, VA 22922",josh,,,https://www.google.com/maps/dir/?api=1&destination=929%20Wilson%20Hill%20Road%2C%20Arrington%2C%20VA%2022922,Breakfast; Scenic Views; Lodging; Hiking; Tastings; Water Sports,false,https://www.google.com/maps/dir/?api=1&destination=929%20Wilson%20Hill%20Road%2C%20Arrington%2C%20VA%2022922,Experience,6 Rooms with private baths Some have Jacuzzi tubs and fireplaces Rates include a full country breakfast.,Events & Activities,*Lodging descriptions are provided by the host and not independently verified.,Contact & Location,"Mary Ten Hoopen, mtenhoopen@verizon. Net Staff on Site. Yes Pet-Friendly. N/A Find us at Arrington.",,
189,Spyrock Lodge,spyrock-lodge,Cabins & Cottages,stay,Montebello,"Spyrock Lodge is a secluded two-bedroom cabin on 11 acres bordering the Appalachian Trail with Wi-Fi, heat/AC, and optional micro cabin. Spyrock Lodge sits on 11 secluded acres bordering the Appalachian Trail, giving hikers immediate access to Spy Rock along with modern essentials like Wi-Fi and climate control. An optional micro-cabin expands the sleeping capacity for friends who want to share the adventure. Fully furnished secluded cabin on 11 acres of land next to George Washington National Forest/Appalachian Trail. At 3,000 feet elevation and direct hiking access to the AT trail.",,https://ik.imagekit.io/OE/nelson-county/listings/spyrock-lodge-image1_UEWaQhSJm,"Modern small cabin with gray walls, red door, and white railing, surrounded by trees.",,https://ik.imagekit.io/OE/nelson-county/listings/spyrock-lodge-image2_gdCdtVVjL,"Living room with wooden furniture, large windows, and vaulted ceiling.",,,,,,,"Montebello, VA 24464",josh,,,https://www.google.com/maps/dir/?api=1&destination=Montebello%2C%20VA%2024464,Cabins; Wi-Fi; Lodging; Appalachian Trail,false,https://www.google.com/maps/dir/?api=1&destination=Montebello%2C%20VA%2024464,Experience,"Fully furnished secluded cabin on 11 acres of land next to George Washington National Forest/Appalachian Trail. At 3,000 feet elevation and direct hiking access to the AT trail. Fully Finished two bedroom two bathrooms. Heat and AC along with high speed wifi internet. Sleeps 4 adults, a micro cabin is available for 5-6 adults.",Experience,Scenic and secluded cabin with direct hiking access to National Forest and AT trail.,Events & Activities,*Lodging descriptions are provided by the host and not independently verified.,Contact & Location,"Lilibeth Yankovich, spyrock@mac. Com Staff on Site. No Pet-Friendly. N/A Find us at Montebello."
190,The Retreat at Crabtree Falls,the-retreat-at-crabtree-falls,Cabins & Cottages,stay,Tyro,"The Retreat at Crabtree Falls spreads across cabins, glamping tents, and forthcoming lodge suites only minutes from Virginia's highest cascading waterfall. Each accommodation provides bedrooms, full kitchens, and generous living rooms for families and groups, while onsite trails connect directly to Crabtree Falls and mountain viewpoints. A dedicated hospitality team keeps spaces immaculate, arranges hikes, fishing, and winery excursions, and answers special requests so guests enjoy a secluded yet fully supported Blue Ridge escape. Stay a stone's throw from Virginia's tallest cascading waterfall at The Retreat at Crabtree Falls, where cabins, glamping tents, and lodge suites anchor a forested campus. Guides can connect you to trout streams, winery tours, or simply point out the trailheads that start on the property, keeping nature and comfort in perfect balance. If you’re thinking of staying a night, there are nearby cabins, glamping and camping options. Spring in Nelson County is all misty skies and bright flower buds. Some regular visitors maintain that the season of spring is the best time to visit Crabtree Falls.",,https://ik.imagekit.io/OE/nelson-county/listings/the-retreat-at-crabtree-falls-image1_0h8Rx4Mea,Rustic cabin with stone chimney surrounded by colorful autumn trees on hillside.,,https://ik.imagekit.io/OE/nelson-county/listings/the-retreat-at-crabtree-falls-image2_8JC6n6CHHy,"Cozy log cabin living room with stone fireplace, bookshelf, and rustic decor.",,,,,,(434) 207-2230,"10777 Crabtree Falls Highway, Tyro, VA 22976",josh,,,https://www.google.com/maps/dir/?api=1&destination=10777%20Crabtree%20Falls%20Highway%2C%20Tyro%2C%20VA%2022976,Lodging; Cabins; Scenic Views; Water Sports; Tastings; Fishing,false,https://www.google.com/maps/dir/?api=1&destination=10777%20Crabtree%20Falls%20Highway%2C%20Tyro%2C%20VA%2022976,Hours & Information,"For a round-trip hike. If you’re thinking of staying a night, there are nearby cabins, glamping and camping options.",Experience,"Spring in Nelson County is all misty skies and bright flower buds. Some regular visitors maintain that the season of spring is the best time to visit Crabtree Falls. The leaves have not yet returned, so the sound of the falls fills the forest. The springtime, the water is more forceful, adding to the sounds of the rushing water. Visitors to Crabtree Falls have reported seeing deer in the woods. The Dogwood blossoms are bright pink and stand out against the pale blue springtime sky.",Events & Activities,"For the family dog. Can’t tear yourself away from Nelson. Don’t worry- it happens to visitors all of the time. Stay the night at a nearby cabin, glamping or camping spot.",Menu & Offerings,"Fall is one of the most popular seasons to visit Nelson County. The peaceful county’s Blue Ridge Mountains burn bright with brilliant color, and small business owners offer up their coziest amenities. Photographers love immortalizing the spectacular colors of Nelson County in the fall. After the fall rains begin, the cascading waters of Crabtree Falls intensify, and the sound of the water reverberates along the wooded trail. One you reach the top, you’ll be rewarded with a dramatic view of fall."
191,Point of View,point-of-view,Cabins & Cottages,stay,Roseland,"Point of View is a five-bedroom, 5.5-bath Wintergreen resort home with panoramic mountain views, dual entertaining levels, hot tub, game room, and chef kitchen. Floor-to-ceiling glass in Point of View frames Wintergreen's ridgelines while two sprawling living levels, a hot tub, game room, and chef's kitchen make it effortless to host slope days or wine weekends with a crowd.",,https://ik.imagekit.io/OE/nelson-county/listings/point-of-view-image1_xsk3WSAG3,"Snow-covered landscape with bare trees, mountains, and blue sky with clouds.",,https://ik.imagekit.io/OE/nelson-county/listings/point-of-view-image2_F7HbHWOzm,"Spacious living room with high wooden ceiling and stone fireplace, cozy seating area.",,,,,,,"Wintergreen Resort, Roseland, VA 22967",josh,,,https://www.google.com/maps/dir/?api=1&destination=Wintergreen%20Resort%2C%20Roseland%2C%20VA%2022967,Scenic Views; Full Kitchen; Cabins; Lodging,false,https://www.google.com/maps/dir/?api=1&destination=Wintergreen%20Resort%2C%20Roseland%2C%20VA%2022967,Hours & Information,"Of entertainment. And enjoy the outdoors while relaxing on the many seating opportunities provided on the two-story deck. The expansive high-end chef's kitchen includes tons of storage and unique countertops (made from recycled paper. ), an induction cooktop, wall oven, microwave, refrigerator/freezer, beverage fridge, two sinks, two dishwashers (for easy clean up. ) and direct access to the gas grill on the connecting porch.",Events & Activities,*Lodging descriptions are provided by the host and not independently verified.,Contact & Location,"Andria Mc Clellan, andria. Mcclellan@gmail. Com Staff on Site. No Pet-Friendly. N/A Find us at Roseland.",,
192,The Inn at Blue Mountain Brewery,the-inn-at-blue-mountain-brewery,Cabins & Cottages,stay,Afton,"The Inn at Blue Mountain Brewery is a 4,000 sq ft Cape Cod home beside the brewery with wraparound porch, hot tub, fire pit, and private path to the taproom. Book the Inn at Blue Mountain Brewery when you want 4,000 square feet of private space yet a footpath straight to the taproom—wraparound porches, a hot tub, and fire pit keep the party going after last call. There’s something to do in Afton every season of the year.",,https://ik.imagekit.io/OE/nelson-county/listings/the-inn-at-blue-mountain-brewery-image1_iQ5F3SfRK,"White house with porch, surrounded by trees and manicured lawn under blue sky.",,https://ik.imagekit.io/OE/nelson-county/listings/the-inn-at-blue-mountain-brewery-image2_cvp8LorNA,"Living room with beige sofas, red rug, fireplace, and large windows.",,,,,,,"9519 Critzers Shop Road, Afton, VA 22920",josh,,,https://www.google.com/maps/dir/?api=1&destination=9519%20Critzers%20Shop%20Road%2C%20Afton%2C%20VA%2022920,Pool; Beer; Outdoor Seating; Cabins; Lodging; Tastings,false,https://www.google.com/maps/dir/?api=1&destination=9519%20Critzers%20Shop%20Road%2C%20Afton%2C%20VA%2022920,Events & Activities,There’s something to do in Afton every season of the year.,Events & Activities,"And live music. Nelson 151’s wineries often include food pairing. If you’d like to do a little shopping, check out the Nelson 151 gift shops or take a short drive to the Rockfish Valley Community Center, a repurposed school building featuring local shops. Purchase a piece of Nelsonite, Virginia’s state rock, at The Virginia Rock Shop. If you’re into local art, check out the Rockfish Pottery Collective or the Rockfish River Gallery.",Events & Activities,"Live music performances, good food, and inventive, hand-crafted beverages. If you’re planning on spending a hot summer day in Afton, check out the Nelson Farmer’s Market Cooperative one Saturday. Local vendors gather there to sell fresh produce and hand-crafted goodies. Often, there’s live music. Nelson’s wineries make for an excellent day trip as well.",Events & Activities,"And enjoy great food at Blue Mountain. If your taste runs a bit sweeter, try a cider or two at Bryant’s Small Batch, Blue Toad Hard Cider, or Bold Rock Hard Cider. Like the hard stuff better. Head over to Silverback Distillery or Devils Backbone Distillery for a mixed drink and bring home a bottle of bourbon, vodka, whiskey, or gin. If you’re in Nelson celebrating Halloween, you’re in luck."
193,Gracewood,gracewood,Cabins & Cottages,stay,Afton,"Gracewood is a modernized cottage tucked off Route 151 with two miles of private trails, quiet setting, and easy access to wineries and breweries. Gracewood hides just off Route 151, pairing a quiet modern cottage with two miles of private trails that drop you into wine-and-beer country in minutes. 5 miles hiking from the cottage brings you to the Appalachian Trail from the cottage.",,https://ik.imagekit.io/OE/nelson-county/listings/gracewood-image1_M-DOchOiM,Lush garden with green shrubs and small building in background.,,https://ik.imagekit.io/OE/nelson-county/listings/gracewood-image2_xJfVn-RK6k,"Modern kitchen with white cabinets, black countertops, and island with place settings.",,,,,,,"Nellysford, VA 22958",josh,,,https://www.google.com/maps/dir/?api=1&destination=Nellysford%2C%20VA%2022958,Cabins; Lodging,false,https://www.google.com/maps/dir/?api=1&destination=Nellysford%2C%20VA%2022958,About,3. 5 miles hiking from the cottage brings you to the Appalachian Trail from the cottage.,Experience,Very quiet. Close to hiking anywhere. Perfect balance between totally quiet and close to Route 151. Inexpensive.,Events & Activities,*Lodging descriptions are provided by the host and not independently verified.,Contact & Location,"Michael Penny, michael@savvyrest. Com Staff on Site. No Pet-Friendly. N/A Find us at Afton."
194,The Chimneys,the-chimneys,Cabins & Cottages,stay,Montebello,"The Chimneys is an 1800s hand-hewn log cabin for unplugged stays, ideal for guests seeking a rustic, off-grid Nelson County experience. Stays at The Chimneys feel like traveling back to the 1800s: a hand-hewn log cabin, no distractions, and pure Nelson County forest for an off-grid reset. This historic 1800s cabin remains much the same as when it was built. It is ideal for the adventurous soul looking to disconnect.",,https://ik.imagekit.io/OE/nelson-county/listings/the-chimneys-image1_u5cR87lJ9,Log cabin with stone chimney surrounded by lush green forest.,,https://ik.imagekit.io/OE/nelson-county/listings/the-chimneys-image2_sNFxu8Fy4p,"Modern kitchen with blue island, pendant light, and stainless appliances.",,,,,,,"Roseland, VA 22967",josh,,,https://www.google.com/maps/dir/?api=1&destination=Roseland%2C%20VA%2022967,Cabins; Adventure; Lodging,false,https://www.google.com/maps/dir/?api=1&destination=Roseland%2C%20VA%2022967,Experience,This historic 1800s cabin remains much the same as when it was built. It is ideal for the adventurous soul looking to disconnect.,Events & Activities,*Lodging descriptions are provided by the host and not independently verified.,Contact & Location,"Margaret Stahl, maggiestahl11@gmail. Com Staff on Site. No Pet-Friendly. N/A Find us at Montebello.",,
195,The Carriage House at Stagebridge Farm,the-carriage-house-at-stagebridge-farm,Bed and Breakfast,stay,Lovingston,"The Carriage House at Stagebridge Farm is an Airbnb studio above the farm's workshop with king bed, EV charging, balcony views, and fast Wi-Fi. The Carriage House at Stagebridge Farm stacks perks into its studio loft—king bed, EV charger, speedy Wi-Fi, and sunrise balcony views washed in fresh mountain air. Lovingston is a great destination for history buffs as the Lovingston Historic District and the courthouse are both listed on the National Register of Historic Places. The original 30 acres was donated by Mr.",,https://ik.imagekit.io/OE/nelson-county/listings/the-carriage-house-at-stagebridge-farm-image1_X0jZ1Dz6N,"Vineyard with rows of grapevines, house, mountain, under clear blue sky.",,https://ik.imagekit.io/OE/nelson-county/listings/the-carriage-house-at-stagebridge-farm-image2_ocUi_5vRa,"Spacious bedroom with large windows, wooden beams, and stylish furnishings.",,,,,,,"Stagebridge Farm, Lovingston, VA 22949",josh,,,https://www.google.com/maps/dir/?api=1&destination=Stagebridge%20Farm%2C%20Lovingston%2C%20VA%2022949,Lodging; Wine; Farm; EV Charging; Breakfast; Wi-Fi,false,https://www.google.com/maps/dir/?api=1&destination=Stagebridge%20Farm%2C%20Lovingston%2C%20VA%2022949,Menu & Offerings,"Lovingston is a great destination for history buffs as the Lovingston Historic District and the courthouse are both listed on the National Register of Historic Places. Lovingston was defined as a “courthouse town” after the Nelson County Courthouse was built. One claim to fame is that that town jail was designed by Thomas Jefferson. Lovingston’s most historic African-American landmark is Bright Hope Baptist Church, which was built in 1870 for the freedmen and women living in Nelson. Present-day.",Experience,"Lovingstown, Virginia, as it was first named, began with a land grant and a need to build a courthouse and a county seat for the newly created Nelson County in 1809. The original 30 acres was donated by Mr. James Loving that same year and thus began the construction of this charming historic village. There were 49 lots parceled off in nearly equal measure and then sold. The lots were numbered for identification and were thereby known as those lot numbers.",Contact & Location,"Bright Hope Baptist Church, a historic African-American landmark in Lovingston that overlooks the village. The church was built along with a school in 1870 to serve the freed men and women of Nelson. The kept area has over 100 marked graves. Dinner Options in Lovingston include Vito’s Pizza & Italian Grill for classic and specialty pizzas and Italian entrees. El Mariachi Mexican Restaurant offers over one hundred menu choices and has a gift shop on-site.",Information,"Than a meal, head to Wood Ridge Farm Brewery, where a food truck is usually available. It’s a family-friendly place with plenty of outdoor activities. Want to know something interesting. The brewery and the bar were built out of wood from the property. If you’re lucky enough to have stopped by on the weekend, Visitors can enjoy live music there as well. S Outback Brew House is further south on Route 29 and also has wood fired pizza and live music."
196,Indigo House Bed & Breakfast,indigo-house-bed-and-breakfast,Bed and Breakfast,stay,Afton,"Indigo House treats guests to four artfully curated, dog-friendly rooms plus chef-prepped breakfasts before they set off for Skyline Drive, Shenandoah National Park, or the Nelson 151 beverage trail. There’s something to do in Afton every season of the year.",,https://ik.imagekit.io/OE/nelson-county/listings/indigo-house-bed-breakfast-image1_Vw7sPK22H,"Cozy house with stone facade, surrounded by trees and mountain views.",,https://ik.imagekit.io/OE/nelson-county/listings/indigo-house-bed-breakfast-image2_-xbLE1vcJ,"Bedroom with blue wall, white bed, large window showcasing scenic outdoor view.",,,,,,(434) 989-6766,"451 Indigo Lane, Afton, VA 22920",josh,,,https://www.google.com/maps/dir/?api=1&destination=451%20Indigo%20Lane%2C%20Afton%2C%20VA%2022920,Pet Friendly; Breakfast; Scenic Views; Lodging,false,https://www.google.com/maps/dir/?api=1&destination=451%20Indigo%20Lane%2C%20Afton%2C%20VA%2022920,Information,"Earning them the reputation of""laid-back luxury"" from guests and publications such as Garden & Gun, The Washingtonian, and Virginia Living. Guests enjoy: An adults-only property. This boutique bed & breakfast was built in 2022 and purposefully designed as an intentional space to unwind for those 24 and up. Really delicious food. Farm-to-fork breakfast is served daily (with afternoon drinks and sweet treats too). A pet-friendly getaway.",Events & Activities,*Lodging descriptions are provided by the host and not independently verified.,Contact & Location,"Stephanie Thomas, info@indigohouseva. Com Staff on Site. Yes Pet-Friendly. Yes Find us at Afton.",Events & Activities,There’s something to do in Afton every season of the year.
197,Papa's Cottage,papas-cottage,Cabins & Cottages,stay,Afton,"Papa's Cottage is a mid-century two-bedroom bungalow with private hot tub, updated interiors, and valley views minutes from Route 151 wine country. Papa's Cottage proves mid-century bones can still wow, thanks to a new hot tub, designer interiors, and valley vistas just a few minutes from the wine trail. This charming Mid-Century Modern cottage includes a private HOT TUB for you. Tucked away in the heart of Nelson County wine country, this little bungalow is perfect for two couples or a small family There’s something to do in Afton every season of the year.",,https://ik.imagekit.io/OE/nelson-county/listings/papa-s-cottage-image1_iLmu3PQJn,"Covered patio with seating, hot tub, string lights, and decorative plants.",,https://ik.imagekit.io/OE/nelson-county/listings/papa-s-cottage-image2_c3F3XIbhl,"Cozy living room with brown sofa, pillows, and open kitchen in background.",,,,,,,"Afton, VA 22920",josh,,,https://www.google.com/maps/dir/?api=1&destination=Afton%2C%20VA%2022920,Scenic Views; Cabins; Lodging,false,https://www.google.com/maps/dir/?api=1&destination=Afton%2C%20VA%2022920,Experience,"This charming Mid-Century Modern cottage includes a private HOT TUB for you. Tucked away in the heart of Nelson County wine country, this little bungalow is perfect for two couples or a small family. This two bedroom, one bath freshly updated ranch is perched up on a small hill on the side of Afton Mountain, overlooking the valley. Here, you’re minutes from all the Route 151 activities yet enough in the country to feel like you’re on vacation.",Events & Activities,*Lodging descriptions are provided by the host and not independently verified.,Contact & Location,"Scott Koehler, scottlkoehler@yahoo. Com Staff on Site. No Pet-Friendly. N/A Find us at Afton.",Events & Activities,There’s something to do in Afton every season of the year.
198,Meme's Cottage,memes-cottage,Cabins & Cottages,stay,Afton,"Meme's Cottage is an updated mid-century getaway for two couples, tucked into woods near Route 151 with modern finishes and quiet deck space. Meme's Cottage is tailor-made for two couples or a small family seeking privacy—modernized 1950s architecture, wooded deck, and an easy hop to Route 151 tasting rooms. Close to so much, and reasonably-priced for a private, upscale, two bedroom house.",,https://ik.imagekit.io/OE/nelson-county/listings/meme-s-cottage-image1_WpucqZ33l,"White house with blue door, surrounded by green trees and grass, outdoor game nearby.",,https://ik.imagekit.io/OE/nelson-county/listings/meme-s-cottage-image2_VGkuXlmBC,Bright kitchen and dining area with white cabinets and wooden floor.,,,,,,,"Afton, VA 22920",josh,,,https://www.google.com/maps/dir/?api=1&destination=Afton%2C%20VA%2022920,Beer; Full Kitchen; Outdoor Seating; Cabins; Lodging; Tastings,false,https://www.google.com/maps/dir/?api=1&destination=Afton%2C%20VA%2022920,Experience,"Close to so much, and reasonably-priced for a private, upscale, two bedroom house.",Events & Activities,*Lodging descriptions are provided by the host and not independently verified.,Contact & Location,"Heather Koehler, scottlkoehler@yahoo. Com Staff on Site. No Pet-Friendly. N/A Find us at Afton.",,
199,Cheval Circle,cheval-circle,Cabins & Cottages,stay,Afton,"Cheval Circle is a rustic three-bedroom home on a meadow beside a horse farm, offering mountain views and easy drives to Afton attractions. Cheval Circle sits beside open pasture and a horse farm, giving the three-bedroom home meadow views, star-filled skies, and quick drives to Afton's trailheads and taprooms. Clean, charmingly rustic, well-appointed and in the heart of Virginia Wine Country,“Cheval Circle” is just a short drive from many of Nelson County’s most popular destinations, including dozens of wineries and breweries and the Afton Mountain Tunnel. Enjoy the beautiful mountain views and the quiet horse farm just across the meadow. The house feels remote and rural, yet is close to so much of what Nelson County has to offer.",,https://ik.imagekit.io/OE/nelson-county/listings/cheval-circle-image1_fOJj41ghsQ,"Hot tub under wooden gazebo, surrounded by trees and clear blue sky.",,https://ik.imagekit.io/OE/nelson-county/listings/cheval-circle-image2_lfF_LxYpL,"Cozy living room with gray sofa, fireplace, and large windows, wood floor.",,,,,,,"Afton, VA 22920",josh,,,https://www.google.com/maps/dir/?api=1&destination=Afton%2C%20VA%2022920,Scenic Views; Cabins; Lodging,false,https://www.google.com/maps/dir/?api=1&destination=Afton%2C%20VA%2022920,Experience,"Clean, charmingly rustic, well-appointed and in the heart of Virginia Wine Country,“Cheval Circle” is just a short drive from many of Nelson County’s most popular destinations, including dozens of wineries and breweries and the Afton Mountain Tunnel. Enjoy the beautiful mountain views and the quiet horse farm just across the meadow.",Menu & Offerings,"The house feels remote and rural, yet is close to so much of what Nelson County has to offer. There is also a fully functioning horse farm right next door.",Events & Activities,*Lodging descriptions are provided by the host and not independently verified.,Contact & Location,"Heather Koehler, scottlkoehler@yahoo. Com Staff on Site. No Pet-Friendly. N/A Find us at Afton."
200,The Wine Cottage,the-wine-cottage,Cabins & Cottages,stay,Afton,"The Wine Cottage is a mid-century ranch with updated interiors, mountain views, and a private fire pit minutes from Nelson 151 tasting rooms. The Wine Cottage pairs an updated ranch layout with mountain-facing fire pit lounges, making it a natural launch point for Nelson 151 tastings or Wintergreen adventures. There’s something to do in Afton every season of the year.",,https://ik.imagekit.io/OE/nelson-county/listings/the-wine-cottage-image1_XiGtHjWQI,Brick house with triangular roof and six blue chairs on lawn.,,https://ik.imagekit.io/OE/nelson-county/listings/the-wine-cottage-image2_CYT2yfryX,"Modern kitchen with island, bar stools, stainless appliances, wooden floor, warm lighting.",,,,,,,"Afton, VA 22920",josh,,,https://www.google.com/maps/dir/?api=1&destination=Afton%2C%20VA%2022920,Scenic Views; Tastings; Wine; Cabins; Lodging,false,https://www.google.com/maps/dir/?api=1&destination=Afton%2C%20VA%2022920,Events & Activities,There’s something to do in Afton every season of the year.,Events & Activities,"And live music. Nelson 151’s wineries often include food pairing. If you’d like to do a little shopping, check out the Nelson 151 gift shops or take a short drive to the Rockfish Valley Community Center, a repurposed school building featuring local shops. Purchase a piece of Nelsonite, Virginia’s state rock, at The Virginia Rock Shop. If you’re into local art, check out the Rockfish Pottery Collective or the Rockfish River Gallery.",Events & Activities,"Live music performances, good food, and inventive, hand-crafted beverages. If you’re planning on spending a hot summer day in Afton, check out the Nelson Farmer’s Market Cooperative one Saturday. Local vendors gather there to sell fresh produce and hand-crafted goodies. Often, there’s live music. Nelson’s wineries make for an excellent day trip as well.",Events & Activities,"And enjoy great food at Blue Mountain. If your taste runs a bit sweeter, try a cider or two at Bryant’s Small Batch, Blue Toad Hard Cider, or Bold Rock Hard Cider. Like the hard stuff better. Head over to Silverback Distillery or Devils Backbone Distillery for a mixed drink and bring home a bottle of bourbon, vodka, whiskey, or gin. If you’re in Nelson celebrating Halloween, you’re in luck."
201,Carter's Cottage,carters-cottage,Cabins & Cottages,stay,Afton,"Carter's Cottage is a modern farmhouse in downtown Nellysford within walking distance to Three Notch'd, featuring a hot tub and updated open floor plan. From Carter's Cottage you can stroll to downtown Nellysford and Three Notch'd, then return to a hot tub, modern kitchen, and airy open floor plan built for entertaining. This clean Modern Farmhouse style one story Cottage in the heart of the 151 corridor,“Carter’s Cottage” is WALKING DISTANCE from the new Three Notch’d distillery/brewery/pub, as well as several other local restaurants and shopping destinations in downtown Nellysford. Also just a short drive from many of Nelson County’s most popular destinations, including Devil’s Backbone, Bold Rock Cidery, and Wintergreen Visitors can walk to Three Notch'd. Then go home and sit in your own hot tub.",,https://ik.imagekit.io/OE/nelson-county/listings/carter-s-cottage-image1_ydn0TnyDb,Wooden chairs in circle around fire pit on gravel patio.,,https://ik.imagekit.io/OE/nelson-county/listings/carter-s-cottage-image2_VB2OzoF4k,"Modern kitchen with island, barstools, stainless steel appliances, and 'Gather' sign above.",,,,,,,"Nellysford, VA 22958",josh,,,https://www.google.com/maps/dir/?api=1&destination=Nellysford%2C%20VA%2022958,Cabins; Lodging; Farm,false,https://www.google.com/maps/dir/?api=1&destination=Nellysford%2C%20VA%2022958,Experience,"This clean Modern Farmhouse style one story Cottage in the heart of the 151 corridor,“Carter’s Cottage” is WALKING DISTANCE from the new Three Notch’d distillery/brewery/pub, as well as several other local restaurants and shopping destinations in downtown Nellysford. Also just a short drive from many of Nelson County’s most popular destinations, including Devil’s Backbone, Bold Rock Cidery, and Wintergreen. PLUS enjoy the Hot Tub.",Experience,Visitors can walk to Three Notch'd. Then go home and sit in your own hot tub.,Events & Activities,*Lodging descriptions are provided by the host and not independently verified.,Contact & Location,"Heather Koehler, scottlkoehler@yahoo. Com Staff on Site. No Pet-Friendly. N/A Find us at Afton."
202,Beech Grove Cottage,beech-grove-cottage,Cabins & Cottages,stay,Roseland,"Beech Grove Cottage is a renovated 1920s bungalow across from Devils Backbone with fiber internet, huge yard, and fire pit for six guests. Beech Grove Cottage is a lovingly restored 1920s bungalow across from Devils Backbone, now sporting fiber internet, a spacious yard, and a fire pit that seats the whole crew. The perfect cozy escape. Beautiful, thoughtfully and fully renovated 1920's bungalow in the heart of the best of Nelson County.",,https://ik.imagekit.io/OE/nelson-county/listings/beech-grove-cottage-image1_jL7Nd6cfH,Yellow daffodils in grassy yard before small house with blue roof.,,https://ik.imagekit.io/OE/nelson-county/listings/beech-grove-cottage-image2_C2qlV-tLb,"Spacious living room with large green sofa, colorful pillows, and wood accents.",,,,,,,"200 Mosbys Run, Roseland, VA 22967",josh,,,https://www.google.com/maps/dir/?api=1&destination=200%20Mosbys%20Run%2C%20Roseland%2C%20VA%2022967,Cabins; Lodging,false,https://www.google.com/maps/dir/?api=1&destination=200%20Mosbys%20Run%2C%20Roseland%2C%20VA%2022967,Experience,"The perfect cozy escape. Beautiful, thoughtfully and fully renovated 1920's bungalow in the heart of the best of Nelson County. Roomy, stylish, light filled. Sleeps 6. Across the road from Devils Backbone Brewery, at the base of Wintergreen Resort— in the middle of it all. Hike, ski, bike, dine, sample beer, cider, wine, apple and peach orchards, chestnut farms. Just off 151,“The Brew Ridge Trail” & backs up to acres of woods and nature. 7 min to Appalachian Trail.",Events & Activities,*Lodging descriptions are provided by the host and not independently verified.,Contact & Location,"Jill Averitt, jill@raveritt. Com Staff on Site. No Pet-Friendly. N/A Find us at Roseland.",,
203,Montebello Resort,montebello-resort,Cabins & Cottages,stay,Montebello,"Montebello Resort offers rustic cabins and cottages with onsite lake, trout pond, country store, and easy access to Crabtree Falls trails. Montebello Resort functions like a mountain playground—rustic cabins ring a private lake, trout pond, and country store, with Crabtree Falls trailheads only minutes away. Lake, trout pond, and unique country store all on site; close to historical sites and hiking; relax, unplug, and unwind.",,https://ik.imagekit.io/OE/nelson-county/listings/montebello-resort-image1_ghrMpW_B3,"Small wooden cabin with a porch, surrounded by green trees and sunlight.",,https://ik.imagekit.io/OE/nelson-county/listings/montebello-resort-image2_5p3CUVkbm,"Rustic wooden cabin interior with leather chairs, stone fireplace, and large windows.",,,,,,(540) 377-2650,"15090 Crabtree Falls Highway, Montebello, VA 24464",josh,,,https://www.google.com/maps/dir/?api=1&destination=15090%20Crabtree%20Falls%20Highway%2C%20Montebello%2C%20VA%2024464,Cafe; Retail; Cabins; Pet Friendly; Lodging,false,https://www.google.com/maps/dir/?api=1&destination=15090%20Crabtree%20Falls%20Highway%2C%20Montebello%2C%20VA%2024464,Experience,"Lake, trout pond, and unique country store all on site; close to historical sites and hiking; relax, unplug, and unwind.",Events & Activities,*Lodging descriptions are provided by the host and not independently verified.,Contact & Location,"Christy Humphreys, christy@montebellova. Com Staff on Site. Yes Pet-Friendly. Yes Find us at Montebello.",,
